uf;br;municipio;mes;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
RJ;101;ITABORAI;9;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Retorno Regulamentado;Curva";Não;false
MG;381;CORONEL FABRICIANO;10;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Nublado;Simples;Reta;Sim;false
RS;472;SANTA ROSA;10;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Retorno Regulamentado;Reta";Não;false
MS;163;DOURADOS;10;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RJ;101;SAO GONCALO;10;quarta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não;false
BA;415;ILHEUS;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Dupla;Reta;Não;false
PR;277;CASCAVEL;10;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
PI;343;ALTOS;10;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Sim;false
PR;376;PONTA GROSSA;9;quinta-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Ignorado;Dupla;Reta;Não;false
MG;262;CAMPO FLORIDO;10;quarta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Curva;Não;false
GO;80;PADRE BERNARDO;10;quarta-feira;Plena Noite;Iluminação deficiente;Saída de leito carroçável;Nublado;Dupla;"Declive;Reta";Sim;false
PR;369;IBIPORA;10;quarta-feira;Plena Noite;Acumulo de areia ou detritos sobre o pavimento;Tombamento;Céu Claro;Dupla;"Interseção de Vias;Reta;Declive";Não;false
PR;376;ORTIGUEIRA;10;quarta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nublado;Simples;"Declive;Reta";Não;false
PA;153;SAO DOMINGOS DO ARAGUAIA;9;terça-feira;Plena Noite;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;Curva;Não;false
PB;101;SANTA RITA;10;quarta-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Dupla;Reta;Não;false
SP;116;ITAPECERICA DA SERRA;10;quarta-feira;Anoitecer;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não;false
MG;381;CAETE;10;quarta-feira;Plena Noite;Demais falhas na via;Queda de ocupante de veículo;Céu Claro;Dupla;"Aclive;Curva";Não;false
MT;70;BARRA DO GARCAS;10;quarta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim;false
SP;116;GUARATINGUETA;10;quarta-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Dupla;"Aclive;Curva";Não;false
AC;364;RIO BRANCO;10;quarta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Dupla;Declive;Sim;false
SP;116;GUARULHOS;10;quarta-feira;Pleno dia;Mal súbito do condutor;Tombamento;Nublado;Múltipla;"Aclive;Reta";Sim;true
SC;470;BLUMENAU;10;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Curva;Não;false
SC;101;ICARA;10;quarta-feira;Pleno dia;Pista Escorregadia;Tombamento;Céu Claro;Simples;Interseção de Vias;Não;false
PR;277;MORRETES;10;quarta-feira;Plena Noite;Entrada inopinada do pedestre;Atropelamento de Pedestre;Céu Claro;Dupla;Curva;Sim;true
PR;116;COLOMBO;10;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Ignorado;Dupla;Reta;Sim;false
RJ;116;QUEIMADOS;10;quarta-feira;Pleno dia;Frear bruscamente;Colisão com objeto;Nublado;Dupla;"Em Obras;Curva";Não;false
PR;153;IBAITI;10;quarta-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Simples;Reta;Sim;false
SC;280;PORTO UNIAO;10;quarta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão frontal;Céu Claro;Simples;Reta;Sim;false
PA;230;ITAITUBA;10;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Sol;Simples;Reta;Não;false
RS;116;BARRA DO RIBEIRO;10;quarta-feira;Plena Noite;Ausência de sinalização;Saída de leito carroçável;Nublado;Dupla;Curva;Não;false
AP;210;PORTO GRANDE;10;quarta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão frontal;Céu Claro;Simples;Reta;Sim;false
MS;463;PONTA PORA;10;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não;false
RO;364;PORTO VELHO;10;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim;false
PI;222;PIRIPIRI;10;quarta-feira;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Curva;Não;false
PA;230;MEDICILANDIA;10;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não;false
BA;101;GOVERNADOR MANGABEIRA;10;quarta-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Reta;Aclive";Não;true
