data_inversa;dia_semana;horario;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;tipo_pista;tracado_via;uso_solo;mortos;acidente_fatal
2025-08-28;quinta-feira;10:30:00;MG;40;MATOZINHOS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;12:00:00;PR;376;CURITIBA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Nublado;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;12:00:00;RO;319;PORTO VELHO;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Nublado;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;13:30:00;RS;116;CAPAO DO LEAO;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Reta;Em Obras";Não;0;false
2025-08-28;quinta-feira;13:30:00;PR;277;BALSA NOVA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sem Vítimas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;14:00:00;PA;316;SAO FRANCISCO DO PARA;Reação tardia ou ineficiente do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Reta;Em Obras;Declive";Não;0;false
2025-08-12;terça-feira;18:40:00;ES;262;IBATIBA;Reação tardia ou ineficiente do condutor;Colisão frontal;Com Vítimas Feridas;Plena Noite;Céu Claro;Simples;"Aclive;Reta";Não;0;false
2025-08-28;quinta-feira;13:15:00;PR;277;CANTAGALO;Desrespeitar a preferência no cruzamento;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;"Curva;Interseção de Vias";Sim;0;false
2025-08-02;sábado;10:45:00;RJ;101;CAMPOS DOS GOYTACAZES;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Não;0;false
2025-08-28;quinta-feira;10:00:00;MG;365;JOAO PINHEIRO;Reação tardia ou ineficiente do condutor;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Céu Claro;Simples;Curva;Não;0;false
2025-08-28;quinta-feira;15:50:00;DF;70;BRASILIA;Manobra de mudança de faixa;Colisão transversal;Com Vítimas Feridas;Pleno dia;Céu Claro;Dupla;Reta;Sim;0;false
2025-08-28;quinta-feira;13:30:00;MS;163;SIDROLANDIA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Céu Claro;Simples;Aclive;Não;0;false
