id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;feridos;ilesos;ignorados;veiculos;latitude;longitude;regional;delegacia;uop
759541;20/03/2026;sexta-feira;06:30:00;RJ;101;310;SAO GONCALO;Pedestre andava na pista;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;0;1;1;1;0;2;-22,79829108;-43,04810212;SPRF-RJ;DEL02/RJ;UOP02-DEL02-RJ
759542;20/03/2026;sexta-feira;10:05:00;RS;386;341,5;LAJEADO;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Múltipla;Reta;Sim;1;0;0;1;1;0;0;1;-29,429867;-52,015582;SPRF-RS;DEL04/RS;UOP01-DEL04-RS
759545;08/03/2026;domingo;09:53:00;PR;163;124;REALEZA;Ausência de sinalização;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Curva;Não;1;0;0;1;1;0;0;1;-25,60502558;-53,56430881;SPRF-PR;DEL02/PR;UOP02-DEL02-PR
759546;20/03/2026;sexta-feira;08:00:00;RS;290;35,5;SANTO ANTONIO DA PATRULHA;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Não;2;0;2;0;2;0;0;1;-29,884883;-50,612285;SPRF-RS;DEL03/RS;UOP01-DEL03-RS
759549;20/03/2026;sexta-feira;09:30:00;SC;470;274;BRUNOPOLIS;Ausência de reação do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;1;0;1;1;0;2;-27,328177;-50,809063;SPRF-SC;DEL07/SC;UOP06-DEL07-SC
759550;15/03/2026;domingo;16:30:00;PE;232;56,5;POMBOS;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Não;2;0;2;0;2;0;0;1;-8,14002393;-35,37893621;SPRF-PE;DEL02/PE;UOP02-DEL02PE
759552;16/02/2026;segunda-feira;02:40:00;PB;104;132;QUEIMADAS;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;2;0;1;0;1;1;0;1;-7,306585;-35,89329;SPRF-PB;DEL02-PB;UOP03-DEL02-PB
759553;20/03/2026;sexta-feira;10:10:00;PR;116;39;CAMPINA GRANDE DO SUL;Acumulo de óleo sobre o pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Curva;Não;1;0;1;0;1;0;0;1;-25,16904249;-48,86657445;SPRF-PR;DEL01/PR;UOP02-DEL01-PR
759554;20/03/2026;sexta-feira;09:53:00;AP;210;103,7;PORTO GRANDE;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Não;2;0;0;1;1;1;0;2;0,69548072;-51,38637956;SPRF-AP;DEL01-AP;UOP01-DEL01-AP
759556;20/03/2026;sexta-feira;10:20:00;RN;110;43,5;MOSSORO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;2;0;0;1;1;1;0;2;-5,1116;-37,2038;SPRF-RN;DEL04-RN;UOP01-DEL04-RN
759557;20/03/2026;sexta-feira;08:40:00;MS;376;25;FATIMA DO SUL;Ausência de reação do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2;0;0;0;0;2;0;2;-22,369558;-54,531152;SPRF-MS;DEL04/MS;UOP01-DEL04-MS
759559;20/03/2026;sexta-feira;09:00:00;MG;381;728,2;CARMO DA CACHOEIRA;Chuva;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Não;2;0;2;0;2;0;0;1;-21,48915182;-45,20730257;SPRF-MG;DEL04/MG;UOP02-DEL04-MG
759560;20/03/2026;sexta-feira;11:10:00;PR;277;79;CURITIBA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Em Obras";Sim;3;0;1;1;2;1;0;2;-25,47736912;-49,20439331;SPRF-PR;DEL01/PR;UOP08-DEL01-PR
759561;20/03/2026;sexta-feira;11:00:00;PE;424;82;GARANHUNS;Ausência de reação do condutor;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Aclive;Não;3;0;2;1;3;0;0;2;-8,84189;-36,529932;SPRF-PE;DEL03/PE;UOP01-DEL03-PE
759562;20/03/2026;sexta-feira;07:15:00;PE;101;74,6;RECIFE;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;5;0;0;0;0;5;0;2;-8,107132;-34,948333;SPRF-PE;DEL01/PE;UOP01-DEL01-PE
759564;20/03/2026;sexta-feira;11:00:00;PR;376;231,6;APUCARANA;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Interseção de Vias";Sim;2;0;0;1;1;1;0;2;-23,567054;-51,523257;SPRF-PR;DEL07/PR;UOP03-DEL07-PR
